,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Mississippi,18.95737315365662,16.04309376525246,23.577515655293823,17.252070429224606,20.46948949045867,16.19602098372168,27.389963313779905,20.46948949045867,20.46948949045867,19.250420658916788,18.21720054716769,19.941831191843388,17.302965853089603,20.46948949045867,25.293077959407835,26.236244861244707,15.488983898745396,17.54661401325005,20.46948949045867,17.965742089307415,20.23610205648154,15.268060548126648,20.46948949045867,19.260416736384194,0.0,20.46948949045867,21.167042532339238,23.722305324664465,20.46948949045867,20.815850813393,22.872942186545856,18.72754382593738,20.46948949045867,20.46948949045867,19.71900273488676,19.08784542690204,16.44288756084779,15.260625378691977,26.23870509022303,17.44287146493042,20.88406673650992,19.276924392635696,18.053785014700342,20.46948949045867,20.621014669413455,26.127384909142734,18.433642820218484,23.504308044491545,20.46948949045867,18.84709688502077,18.023401171239524
Missouri,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
Montana,22.80325545043308,16.155538094859466,22.955495032148164,19.402708299065125,20.469489490458724,17.72516628225141,28.64590143534701,20.469489490458724,20.469489490458724,22.241217418069876,21.758088153905675,22.960938416725075,17.291634236865985,20.469489490458724,25.035744597333213,28.807704760427562,19.889974074207384,18.38606475584139,20.469489490458724,19.59563743788345,21.577035151527646,24.071707847025326,20.469489490458724,16.70352164574752,21.167042532339238,20.469489490458724,0.0,24.787169606345913,20.469489490458724,25.121042627222096,19.152021786937325,19.394167818038422,20.469489490458724,20.469489490458724,18.73880897920664,17.290873954171406,18.26171215473201,14.071284765053102,28.8077105154948,20.97163792078946,23.764904828654505,15.733051079238603,19.754503478201528,20.469489490458724,17.043030356115977,28.81964322195025,20.564906809094595,25.504019457458472,20.469489490458724,17.46575189124496,19.205583527475156
Nebraska,25.57747165915802,22.881275244202786,24.4780988260757,23.035339762718884,20.469489490458738,19.345756989250695,26.881677355418073,20.469489490458738,20.469489490458738,22.605865696571925,22.896935690143003,24.995565473459546,21.916559546329736,20.469489490458738,6.375458309754839,28.948229652260263,24.385325141822594,23.46591380026623,20.469489490458738,22.608156755860097,22.339751298583153,25.305675569948185,20.469489490458738,20.633883431089327,23.722305324664465,20.469489490458738,24.787169606345913,0.0,20.469489490458738,23.975907129142303,12.532769991693428,17.651350572889722,20.469489490458738,20.469489490458738,23.865416546230463,21.753412557729483,22.899378528221632,23.43728275020476,28.948229652260263,25.05763123451618,23.409920425507,21.073580501066292,22.982188794690156,20.469489490458738,21.694955884472897,28.94822965226026,21.301228339824668,5.649170370508606,20.469489490458738,21.903576318821123,24.13375869183094
Nevada,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
New Hampshire,13.887808796834182,21.796637520362854,15.682570545888362,18.585457341267425,20.469489490458795,20.826033053016054,25.209082585411178,20.469489490458795,20.469489490458795,20.128228884234744,18.778610189745148,23.977741358864186,19.833414602313553,20.469489490458795,24.705623258068268,27.490873440622806,22.344236416868526,16.604519293623973,20.469489490458795,20.520754835485064,18.554746052241367,20.95702062508361,20.469489490458795,20.012460755730313,20.815850813393,20.469489490458795,25.121042627222096,23.975907129142303,20.469489490458795,0.0,25.522385544917224,18.82136035353108,20.469489490458795,20.469489490458795,23.961661810356603,20.453301487507687,21.52204241514621,21.125049274927807,27.544300625705954,21.58993618411246,18.354704661153924,21.14359141487759,17.96817923330576,20.469489490458795,20.97608472234474,27.266224259113223,18.510787273561533,25.218784999507058,20.469489490458795,19.971768460257017,21.746690502136854
New Jersey,26.420512141237246,24.139876266893356,26.85740041797416,23.508966604385048,20.469489490458724,19.95674616730553,22.422333023846242,20.469489490458724,20.469489490458724,25.510221102811506,25.013375177772847,25.050942811935233,24.297844975494616,20.469489490458724,14.494790647778872,28.94822965226027,25.60404480015753,23.639333842255827,20.469489490458724,24.082380916717604,24.08431037310751,25.093685610541232,20.469489490458724,25.54245879226312,22.872942186545856,20.469489490458724,19.152021786937325,12.532769991693428,20.469489490458724,25.522385544917224,0.0,20.76614271106692,20.469489490458724,20.469489490458724,23.840393568582567,24.561588713415468,23.931541487205724,25.087123115293306,28.94822965226027,23.715044732070012,25.506756771968412,25.137104409864886,24.318893787690193,20.469489490458724,24.642894853315397,28.94822965226027,23.426644027439234,12.812002431432001,20.469489490458724,25.06897558402975,25.18113669588065
New Mexico,19.521086837738377,14.48476744113045,20.85549052622508,13.069108553798195,20.469489490458713,13.403335431428696,25.861582468612838,20.469489490458713,20.469489490458713,16.40713309585858,14.054873171884438,20.319595639453752,11.607923568285333,20.469489490458713,16.4427260890471,27.782700438923904,16.93612049918999,13.848273018854307,20.469489490458713,11.414836453509027,10.81725437982661,18.91396490937746,20.469489490458713,11.037589324717878,18.72754382593738,20.469489490458713,19.394167818038422,17.651350572889722,20.469489490458713,18.82136035353108,20.76614271106692,0.0,20.469489490458713,20.469489490458713,17.011370903238987,11.163856551175813,13.225835732312975,14.649271845626844,27.683496014284287,14.593328803241649,17.700508314371675,11.69074877459047,14.163073750386614,20.469489490458713,10.867061112874303,27.136643322362897,12.252731004491924,17.496073828941583,20.469489490458713,10.439139706512345,17.597933540609738
New York,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
North Carolina,20.469489490458717,20.469489490458706,20.469489490458727,20.469489490458717,0.0,20.469489490458717,20.46948949045872,0.0,0.0,20.469489490458702,20.46948949045872,20.469489490458717,20.46948949045872,0.0,20.46948949045873,20.469489490458724,20.469489490458702,20.46948949045871,0.0,20.46948949045874,20.469489490458724,20.469489490458734,0.0,20.46948949045872,20.46948949045867,0.0,20.469489490458724,20.469489490458738,0.0,20.469489490458795,20.469489490458724,20.469489490458713,0.0,0.0,20.469489490458727,20.46948949045872,20.469489490458717,20.46948949045872,20.46948949045872,20.469489490458727,20.469489490458695,20.46948949045872,20.469489490458727,0.0,20.469489490458706,20.46948949045872,20.469489490458713,20.46948949045872,0.0,20.469489490458727,20.469489490458702
