model,mitjana_MAE,mitjana_MSE,mitjana_R2,millor_MAE,millor_MSE,millor_R2,pitjor_MAE,pitjor_MSE,pitjor_R2
hospitalizedIncrease_cluster15,26.51006238689487,991.9897930967945,-1.3949610580866576,25.12482066517713,831.9024339389201,-0.6397111529769546,27.89530410861261,1152.077152254669,-2.150210963196361
hospitalizedIncrease_cluster16,56.49149926452097,4846.430301960814,-2.0118015697133274,28.801721243445353,1077.255404147753,0.027642296290082524,84.18127728559658,8615.605199773876,-4.051245435716737
hospitalizedIncrease_cluster17,2.2605736925430615,7.4907345049430845,-0.9523722911819741,2.2605736925430615,7.4907345049430845,-0.9523722911819741,2.2605736925430615,7.4907345049430845,-0.9523722911819741
hospitalizedIncrease_cluster18,247.61239796656196,62604.7248977857,0.0,247.61239796656196,62604.7248977857,0.0,247.61239796656196,62604.7248977857,0.0
hospitalizedIncrease_cluster19,7.905951474138832,70.02041934705643,-2.9077454988676132,7.905951474138832,70.02041934705643,-2.9077454988676132,7.905951474138832,70.02041934705643,-2.9077454988676132
hospitalizedIncrease_cluster2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
hospitalizedIncrease_cluster3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
hospitalizedIncrease_cluster4,12.521645708461731,279.72067505142314,-2.8160236015823488,4.8620222019285295,40.463837283241226,-1.1244693507235297,20.181269214994934,518.9775128196051,-4.507577852441168
hospitalizedIncrease_cluster5,22.149098537602992,943.3184778118726,-7.891932895987605,7.312921139337907,70.84571753842981,0.6029009197685815,35.302762683377594,2302.116834235126,-69.06474716498337
hospitalizedIncrease_cluster6,97.45166113287988,13044.187345557642,-7.879131319489657,50.35577585162408,4734.087666914943,0.46176981586399113,160.6473142957381,27638.053943309504,-19.704877740064912
hospitalizedIncrease_cluster7,31.139323144369552,1216.6520222464367,-5.584747881799777,23.648024473917012,941.4624292677262,-0.14159017654339467,35.833039108376845,1469.498977853808,-11.502211351167833
hospitalizedIncrease_cluster8,60.58676103029422,4553.304194589179,-3.434278083917113,45.68601517699934,2622.833733558192,-2.7496827702409696,84.22846490405992,8034.044902506912,-4.524266440746477
hospitalizedIncrease_cluster9,7.300058454096738,70.93104306308449,-4.882735316713977,6.303157505602621,50.58715074268032,-1.9695455897836887,8.503863343076643,95.8739004701591,-8.11312642055638
positiveIncrease_cluster1,49.66827788950525,2828.632931754338,-2.944757902321339,49.66827788950525,2828.632931754338,-2.944757902321339,49.66827788950525,2828.632931754338,-2.944757902321339
positiveIncrease_cluster10,366.4914053328685,176535.76550499696,-8.64118355653204,190.34751675708668,46350.32085447446,-0.8622276887967992,603.5335882775579,369606.892017703,-14.951031806407142
positiveIncrease_cluster11,387.46240343413297,364878.4416552279,-0.22855798090917667,316.048723298113,140591.5221302184,-0.03061162143955487,436.17284810209264,639737.1670663132,-0.5212770771762663
positiveIncrease_cluster12,1676.0548354845762,3200394.168177631,-15.337452022636825,1283.575024556483,1717825.2217376307,-2.4633552203648947,2022.1014120630077,4186154.904336955,-23.458229149213782
positiveIncrease_cluster13,661.7810652050204,466859.90119878127,-47.48794604889145,503.7369293833581,257504.8637663301,-13.824931567301755,800.4497792109609,653873.881681971,-102.2565043990096
positiveIncrease_cluster14,89.69976682203767,9965.822519077443,-6.909972618361669,66.968242502342,5792.659666121032,-4.981126172453021,112.43129114173337,14138.985372033854,-8.838819064270318
positiveIncrease_cluster15,503.0936369968147,498704.6147691707,-2.708893344015201,174.81280629315808,46404.37154289172,0.3039023403768202,1143.12528729377,1370599.028214721,-7.461466365412544
positiveIncrease_cluster16,825.9566749182966,824503.0245763143,-5.01239026694819,818.5024531249449,731975.7878571147,-0.025348735447119797,833.4108967116483,917030.2612955138,-9.99943179844926
positiveIncrease_cluster17,5807.445134652374,34055976.98771156,-34.38567234099136,5807.445134652374,34055976.98771156,-34.38567234099136,5807.445134652374,34055976.98771156,-34.38567234099136
positiveIncrease_cluster18,39.816081872150434,1836.6183468029262,-0.43618618929085207,39.816081872150434,1836.6183468029262,-0.43618618929085207,39.816081872150434,1836.6183468029262,-0.43618618929085207
positiveIncrease_cluster19,768.9794483287832,838263.4539351193,-58.595850625590145,262.03544328737905,91930.63674418582,0.40367495826478994,1301.2519697367986,1780192.7020152349,-327.8296024924403
positiveIncrease_cluster2,8381.929540235184,71328716.24634919,-18.704707791752043,8381.929540235184,71328716.24634919,-18.704707791752043,8381.929540235184,71328716.24634919,-18.704707791752043
positiveIncrease_cluster20,399.089517224525,169418.5687298109,-22.573388953500427,293.9679933971564,89140.0722054286,-9.73649425320532,471.7060683501375,228451.96899622964,-48.13753528849185
positiveIncrease_cluster21,288.04939956092875,148243.35468554066,-1.4901104805868084,127.74705882505658,33282.36991591036,-1.2801969120225993,448.3517402968009,263204.33945517096,-1.7000240491510175
positiveIncrease_cluster22,596.4656847344685,456710.8109847043,-89.54329588781236,74.28941291096977,8063.894555154236,0.7569523469383321,942.9953745743413,893536.1955235007,-314.53238383288794
positiveIncrease_cluster3,113.02280139613215,14321.315786653564,-5.777520509426546,113.02280139613215,14321.315786653564,-5.777520509426546,113.02280139613215,14321.315786653564,-5.777520509426546
positiveIncrease_cluster4,200.1937192699717,42427.44843936218,-24.582422078884683,176.33826233821696,32179.195906626785,-15.546845575510815,224.04917620172643,52675.70097209758,-33.61799858225855
positiveIncrease_cluster5,1104.9966883760717,1545879.347431516,-10.574641440515276,1104.9966883760717,1545879.347431516,-10.574641440515276,1104.9966883760717,1545879.347431516,-10.574641440515276
positiveIncrease_cluster6,22.703810257888925,807.0102324382252,0.32995287058639955,22.703810257888925,807.0102324382252,0.32995287058639955,22.703810257888925,807.0102324382252,0.32995287058639955
positiveIncrease_cluster7,808.7796624804076,727711.1216977668,-19.605853461361825,684.5664591087407,560236.0982854638,-12.953778430742961,932.9928658520746,895186.1451100699,-26.257928491980692
positiveIncrease_cluster8,2165.901095063703,5780830.277169853,-66.67945992075919,2026.5634569118597,5493143.308535898,-1.2425203408907697,2305.2387332155463,6068517.245803808,-132.1163995006276
positiveIncrease_cluster9,6243.322272098475,46993838.401605226,-120.16878705665572,3466.6527579102817,12351413.480546951,-54.17481349435266,9019.991786286668,81636263.3226635,-186.16276061895877
